Timestamp: 2024-03-21T07:22:11.406Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67255.35, Profitability: 6.4118745867313205, Maker Latency: 77ms, Taker Latency: 118ms
Timestamp: 2024-03-21T07:22:11.524Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67252.02, Profitability: 6.411507604143708, Maker Latency: 77ms, Taker Latency: 116ms
Timestamp: 2024-03-21T07:22:11.735Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67252.02, Profitability: 6.412324479224072, Maker Latency: 45ms, Taker Latency: 116ms
Timestamp: 2024-03-21T07:22:12.072Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67252.02, Profitability: 6.412324479224072, Maker Latency: 357ms, Taker Latency: 116ms
Timestamp: 2024-03-21T07:22:12.200Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67231.78, Profitability: 6.41009368455858, Maker Latency: 357ms, Taker Latency: 53ms
Timestamp: 2024-03-21T07:22:12.410Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67231.78, Profitability: 6.41009368455858, Maker Latency: 70ms, Taker Latency: 53ms
Timestamp: 2024-03-21T07:22:12.523Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67287.2, Profitability: 6.4162019177780225, Maker Latency: 70ms, Taker Latency: 95ms
Timestamp: 2024-03-21T07:22:12.730Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67287.2, Profitability: 6.4162019177780225, Maker Latency: 77ms, Taker Latency: 95ms
Timestamp: 2024-03-21T07:22:12.846Z, Maker Highest Bid: 9073, Taker Lowest Ask: 67240.71, Profitability: 6.411077923509314, Maker Latency: 77ms, Taker Latency: 39ms
Timestamp: 2024-03-21T07:22:13.061Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67240.71, Profitability: 6.413529217199559, Maker Latency: 270ms, Taker Latency: 39ms
Timestamp: 2024-03-21T07:22:13.188Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67409.77, Profitability: 6.43216868798236, Maker Latency: 270ms, Taker Latency: 51ms
Timestamp: 2024-03-21T07:22:13.509Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67251.45, Profitability: 6.414713340683572, Maker Latency: 270ms, Taker Latency: 108ms
Timestamp: 2024-03-21T07:22:13.722Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67251.45, Profitability: 6.414713340683572, Maker Latency: 82ms, Taker Latency: 108ms
