Timestamp: 2024-03-27T10:08:10.813Z, Latency: -265  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.935Z, Latency: -242  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:11.018Z, Latency: -260  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:11.143Z, Latency: -234  Highest Bid: 69941.83, Lowest Ask: 69945.92
Timestamp: 2024-03-27T10:08:11.250Z, Latency: -228  Highest Bid: 69945.99, Lowest Ask: 69946
Timestamp: 2024-03-27T10:08:11.317Z, Latency: -260  Highest Bid: 69947.38, Lowest Ask: 69947.39
Timestamp: 2024-03-27T10:08:11.432Z, Latency: -246  Highest Bid: 69948.85, Lowest Ask: 69948.86
Timestamp: 2024-03-27T10:08:11.525Z, Latency: -252  Highest Bid: 69949.99, Lowest Ask: 69950
Timestamp: 2024-03-27T10:08:11.627Z, Latency: -251  Highest Bid: 69949.99, Lowest Ask: 69950
Timestamp: 2024-03-27T10:08:11.756Z, Latency: -221  Highest Bid: 69951.78, Lowest Ask: 69951.79
Timestamp: 2024-03-27T10:08:11.869Z, Latency: -210  Highest Bid: 69951.99, Lowest Ask: 69952
Timestamp: 2024-03-27T10:08:11.956Z, Latency: -222  Highest Bid: 69951.99, Lowest Ask: 69952
Timestamp: 2024-03-27T10:08:12.072Z, Latency: -207  Highest Bid: 69951.99, Lowest Ask: 69952
Timestamp: 2024-03-27T10:08:12.214Z, Latency: -164  Highest Bid: 69951.99, Lowest Ask: 69952
Timestamp: 2024-03-27T10:08:12.371Z, Latency: -108  Highest Bid: 69951.99, Lowest Ask: 69952
Timestamp: 2024-03-27T10:08:12.484Z, Latency: -95  Highest Bid: 69954.24, Lowest Ask: 69954.25
Timestamp: 2024-03-27T10:08:12.640Z, Latency: -39  Highest Bid: 69955.99, Lowest Ask: 69956
Timestamp: 2024-03-27T10:08:12.754Z, Latency: -25  Highest Bid: 69957.99, Lowest Ask: 69958.17
Timestamp: 2024-03-27T10:08:12.763Z, Latency: -115  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:12.947Z, Latency: -32  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:13.066Z, Latency: -13  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:13.159Z, Latency: -20  Highest Bid: 69961.99, Lowest Ask: 69962
Timestamp: 2024-03-27T10:08:13.261Z, Latency: -17  Highest Bid: 69963.99, Lowest Ask: 69964
Timestamp: 2024-03-27T10:08:13.350Z, Latency: -28  Highest Bid: 69963.99, Lowest Ask: 69964
Timestamp: 2024-03-27T10:08:13.422Z, Latency: -57  Highest Bid: 69963.99, Lowest Ask: 69964
Timestamp: 2024-03-27T10:08:13.516Z, Latency: -63  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:13.632Z, Latency: -49  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:13.666Z, Latency: -113  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:13.765Z, Latency: -114  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:13.863Z, Latency: -116  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:13.987Z, Latency: -92  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:14.111Z, Latency: -67  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:14.220Z, Latency: -59  Highest Bid: 69964.7, Lowest Ask: 69964.71
Timestamp: 2024-03-27T10:08:14.278Z, Latency: -101  Highest Bid: 69964.7, Lowest Ask: 69964.71
