Timestamp: 2024-03-27T10:08:01.270Z, Latency: -279  Highest Bid: 74320.6, Lowest Ask: 74330.3
Timestamp: 2024-03-27T10:08:01.370Z, Latency: -281  Highest Bid: 74320.9, Lowest Ask: 74330.3
Timestamp: 2024-03-27T10:08:01.477Z, Latency: -281  Highest Bid: 74321.2, Lowest Ask: 74330.3
Timestamp: 2024-03-27T10:08:01.589Z, Latency: -281  Highest Bid: 74321.7, Lowest Ask: 74330.1
Timestamp: 2024-03-27T10:08:01.698Z, Latency: -280  Highest Bid: 74321.7, Lowest Ask: 74330
Timestamp: 2024-03-27T10:08:01.830Z, Latency: -254  Highest Bid: 74321.7, Lowest Ask: 74329.3
Timestamp: 2024-03-27T10:08:01.916Z, Latency: -269  Highest Bid: 74321.7, Lowest Ask: 74328.9
Timestamp: 2024-03-27T10:08:02.013Z, Latency: -274  Highest Bid: 74321.7, Lowest Ask: 74328.5
Timestamp: 2024-03-27T10:08:02.135Z, Latency: -277  Highest Bid: 74321.7, Lowest Ask: 74328.3
Timestamp: 2024-03-27T10:08:02.250Z, Latency: -271  Highest Bid: 74321.7, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:02.361Z, Latency: -271  Highest Bid: 74322.3, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:02.471Z, Latency: -274  Highest Bid: 74322.6, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:02.607Z, Latency: -279  Highest Bid: 74323.7, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:02.731Z, Latency: -257  Highest Bid: 74325.6, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:02.815Z, Latency: -276  Highest Bid: 74328.1, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:02.921Z, Latency: -273  Highest Bid: 74328.1, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:03.019Z, Latency: -276  Highest Bid: 74328.1, Lowest Ask: 74328.2
Timestamp: 2024-03-27T10:08:03.130Z, Latency: -273  Highest Bid: 74328.1, Lowest Ask: 74334
Timestamp: 2024-03-27T10:08:03.229Z, Latency: -281  Highest Bid: 74328.2, Lowest Ask: 74334
Timestamp: 2024-03-27T10:08:03.352Z, Latency: -265  Highest Bid: 74328.3, Lowest Ask: 74334
Timestamp: 2024-03-27T10:08:03.437Z, Latency: -287  Highest Bid: 74328.3, Lowest Ask: 74334
Timestamp: 2024-03-27T10:08:03.557Z, Latency: -280  Highest Bid: 74328.6, Lowest Ask: 74336.2
Timestamp: 2024-03-27T10:08:03.658Z, Latency: -282  Highest Bid: 74329.5, Lowest Ask: 74336.1
Timestamp: 2024-03-27T10:08:03.760Z, Latency: -281  Highest Bid: 74329.5, Lowest Ask: 74336.1
Timestamp: 2024-03-27T10:08:03.877Z, Latency: -274  Highest Bid: 74330.8, Lowest Ask: 74336.1
Timestamp: 2024-03-27T10:08:03.983Z, Latency: -273  Highest Bid: 74330.8, Lowest Ask: 74336.1
Timestamp: 2024-03-27T10:08:04.111Z, Latency: -251  Highest Bid: 74331.1, Lowest Ask: 74336.1
Timestamp: 2024-03-27T10:08:04.217Z, Latency: -247  Highest Bid: 74336, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.308Z, Latency: -258  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.409Z, Latency: -261  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.512Z, Latency: -261  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.615Z, Latency: -264  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.722Z, Latency: -261  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.837Z, Latency: -263  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:04.948Z, Latency: -263  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:05.059Z, Latency: -262  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:05.156Z, Latency: -271  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:05.262Z, Latency: -269  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:05.374Z, Latency: -263  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:05.493Z, Latency: -244  Highest Bid: 74339.9, Lowest Ask: 74340
Timestamp: 2024-03-27T10:08:05.582Z, Latency: -263  Highest Bid: 74332.8, Lowest Ask: 74339.7
Timestamp: 2024-03-27T10:08:05.684Z, Latency: -267  Highest Bid: 74332.8, Lowest Ask: 74339.7
Timestamp: 2024-03-27T10:08:05.806Z, Latency: -256  Highest Bid: 74332.8, Lowest Ask: 74339.7
Timestamp: 2024-03-27T10:08:05.910Z, Latency: -257  Highest Bid: 74332.8, Lowest Ask: 74339.7
Timestamp: 2024-03-27T10:08:06.021Z, Latency: -256  Highest Bid: 74332.8, Lowest Ask: 74339.7
Timestamp: 2024-03-27T10:08:06.121Z, Latency: -260  Highest Bid: 74328.4, Lowest Ask: 74338.8
Timestamp: 2024-03-27T10:08:06.221Z, Latency: -261  Highest Bid: 74328.4, Lowest Ask: 74337.9
Timestamp: 2024-03-27T10:08:06.323Z, Latency: -262  Highest Bid: 74328.4, Lowest Ask: 74337.2
Timestamp: 2024-03-27T10:08:06.450Z, Latency: -236  Highest Bid: 74328.5, Lowest Ask: 74337.1
Timestamp: 2024-03-27T10:08:06.604Z, Latency: -191  Highest Bid: 74328.7, Lowest Ask: 74337.1
Timestamp: 2024-03-27T10:08:06.707Z, Latency: -190  Highest Bid: 74328.8, Lowest Ask: 74337.1
Timestamp: 2024-03-27T10:08:06.890Z, Latency: -133  Highest Bid: 74328.9, Lowest Ask: 74337.1
Timestamp: 2024-03-27T10:08:07.015Z, Latency: -113  Highest Bid: 74328.9, Lowest Ask: 74337.1
Timestamp: 2024-03-27T10:08:07.143Z, Latency: -89  Highest Bid: 74328.9, Lowest Ask: 74337.1
Timestamp: 2024-03-27T10:08:07.291Z, Latency: -51  Highest Bid: 74302.7, Lowest Ask: 74312.8
Timestamp: 2024-03-27T10:08:07.333Z, Latency: -113  Highest Bid: 74290.9, Lowest Ask: 74296.7
Timestamp: 2024-03-27T10:08:07.474Z, Latency: -74  Highest Bid: 74290.9, Lowest Ask: 74296.6
Timestamp: 2024-03-27T10:08:07.577Z, Latency: -72  Highest Bid: 74290.9, Lowest Ask: 74296.6
Timestamp: 2024-03-27T10:08:07.623Z, Latency: -128  Highest Bid: 74290.9, Lowest Ask: 74296.6
Timestamp: 2024-03-27T10:08:07.695Z, Latency: -157  Highest Bid: 74291, Lowest Ask: 74296.6
Timestamp: 2024-03-27T10:08:07.764Z, Latency: -200  Highest Bid: 74291, Lowest Ask: 74296.6
Timestamp: 2024-03-27T10:08:07.841Z, Latency: -231  Highest Bid: 74291.1, Lowest Ask: 74296.6
Timestamp: 2024-03-27T10:08:07.997Z, Latency: -178  Highest Bid: 74291.1, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.100Z, Latency: -177  Highest Bid: 74291.3, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.192Z, Latency: -187  Highest Bid: 74291.8, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.252Z, Latency: -230  Highest Bid: 74291.8, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.319Z, Latency: -272  Highest Bid: 74292.3, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.420Z, Latency: -285  Highest Bid: 74292.6, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.524Z, Latency: -287  Highest Bid: 74296.3, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.624Z, Latency: -287  Highest Bid: 74296.3, Lowest Ask: 74296.4
Timestamp: 2024-03-27T10:08:08.737Z, Latency: -284  Highest Bid: 74296.3, Lowest Ask: 74304.4
Timestamp: 2024-03-27T10:08:08.871Z, Latency: -250  Highest Bid: 74296.5, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:08.998Z, Latency: -244  Highest Bid: 74297.4, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.062Z, Latency: -283  Highest Bid: 74298.4, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.170Z, Latency: -282  Highest Bid: 74298.8, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.276Z, Latency: -280  Highest Bid: 74299.2, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.380Z, Latency: -284  Highest Bid: 74299.6, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.506Z, Latency: -267  Highest Bid: 74299.9, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.608Z, Latency: -268  Highest Bid: 74300.4, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.698Z, Latency: -282  Highest Bid: 74300.4, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.800Z, Latency: -285  Highest Bid: 74300.4, Lowest Ask: 74304.3
Timestamp: 2024-03-27T10:08:09.968Z, Latency: -224  Highest Bid: 74300.4, Lowest Ask: 74304.1
Timestamp: 2024-03-27T10:08:10.257Z, Latency: -41  Highest Bid: 74300.5, Lowest Ask: 74304.1
Timestamp: 2024-03-27T10:08:10.434Z, Latency: 34  Highest Bid: 74300.4, Lowest Ask: 74304
